FeatureID,Raw_P,Q_value,LSMean_1,LSMean_1_LCL,LSMean_1_UCL,LSMean_2,LSMean_2_LCL,LSMean_2_UCL,L2FC,FC,ChemicalName,SuperPathway,SubPathway
S100000447,0.1342,0.3803,0.1353884045,-0.183890644,0.4546674525,-0.383793961,-0.945561355,0.1779734317,-0.749021825,0.595006847,gentisate,Amino Acid,Tyrosine Metabolism
S100000454,0.1884,0.4608,0.0304589799,-0.345061723,0.405979683,0.5641010671,-0.096622797,1.2248249316,0.7698827929,1.70513125,5-aminovalerate,Amino Acid,Lysine Metabolism
S100000463,0.7297,0.8806,0.0235621925,-0.149002647,0.1961270315,0.0869704472,-0.216655175,0.3905960699,0.0914787746,1.0654617302,indolelactate,Amino Acid,Tryptophan Metabolism
S100000467,0.3436,0.6104,-0.058906551,-0.477579102,0.3597660007,0.3659555482,-0.37069344,1.1026045364,0.612946443,1.5293795018,3-indoxyl sulfate,Amino Acid,Tryptophan Metabolism
S100000486,0.4351,0.6912,-0.364857889,-0.77506035,0.0453445714,-0.022754602,-0.744500574,0.6989913707,0.4935507165,1.4079057092,N6-formyllysine,Amino Acid,Lysine Metabolism
S100000487,0.0193,0.1388,-0.229898229,-0.482848835,0.0230523771,0.4336453647,-0.011417984,0.8787087139,0.9572910518,1.941660614,glycylvaline,Peptide,Dipeptide
S100000491,0.109,0.3396,-0.073768342,-0.182519222,0.0349825385,0.1161038704,-0.07524191,0.3074496506,0.273927699,1.2090950802,gamma-glutamylphenylalanine,Peptide,Gamma-glutamyl Amino Acid
S100000551,0.7676,0.901,-0.099430301,-0.30382251,0.1049619076,-0.035231419,-0.394856891,0.3243940522,0.0926194081,1.066304446,4-methyl-2-oxopentanoate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
S100000580,0.946,0.9778,-0.1819503,-0.519735317,0.1558347168,-0.157651039,-0.751979447,0.4366773684,0.0350564225,1.0245968933,"1,5-anhydroglucitol (1,5-AG)",Carbohydrate,"Glycolysis, Gluconeogenesis, and Pyruvate Metabolism"
S100000584,0.1917,0.4644,-0.050849812,-0.623872014,0.5221723907,-0.858727465,-1.866952687,0.149497756,-1.165521085,0.4458032117,2-arachidonoylglycerol (20:4),Lipid,Monoacylglycerol
S100000611,0.8064,0.9187,0.0393140029,-0.114385308,0.1930133133,-0.000725278,-0.271157245,0.2697066888,-0.057764472,0.9607516992,1-palmityl-GPC (O-16:0),Lipid,Lysoplasmalogen
S100000616,0.0714,0.2747,-0.024527102,-0.147350813,0.0982966082,0.2183625818,0.0022558373,0.4344693263,0.3504157427,1.2749279715,1-stearoyl-2-arachidonoyl-GPI (18:0/20:4),Lipid,Phosphatidylinositol (PI)
S100000626,0.0453,0.2144,-0.109487175,-0.281765701,0.0627913503,0.2716983671,-0.031423491,0.5748202251,0.5499344918,1.4640192179,sphingosine 1-phosphate,Lipid,Sphingosines
S100000630,0.0098,0.1063,-1.320984685,-1.727231452,-0.914737919,-0.130731188,-0.845517168,0.5840547913,1.7171728175,3.2879145781,1-oleoyl-GPS (18:1),Lipid,Lysophospholipid
S100000656,0.3459,0.6104,-0.121783406,-0.433897696,0.1903308837,0.1934140428,-0.35574705,0.7425751355,0.4547337963,1.3705298938,1-stearoyl-GPI (18:0),Lipid,Lysophospholipid
S100000657,0.671,0.8484,-0.056787032,-0.215651073,0.1020770095,0.0150033945,-0.26451585,0.2945226387,0.1035716917,1.0744301479,"1,2-dipalmitoyl-GPC (16:0/16:0)",Lipid,Phosphatidylcholine (PC)
S100000665,0.3675,0.6339,-0.010870267,-0.398014681,0.3762741469,0.3626313384,-0.318544296,1.0438069729,0.5388489137,1.4528128957,docosahexaenoate (DHA; 22:6n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
S100000672,0.5288,0.7582,-0.101319365,-0.327884441,0.1252457124,-0.25346357,-0.652101919,0.1451747795,-0.21949769,0.8588644191,1-myristoyl-2-palmitoyl-GPC (14:0/16:0),Lipid,Phosphatidylcholine (PC)
S100000706,0.7637,0.8984,0.0626915939,-0.176709687,0.3020928746,0.1392104134,-0.282013072,0.5604338986,0.1103933214,1.0795225062,alpha-hydroxyisocaproate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
S100000707,0.3035,0.5746,0.0034071555,-0.13574415,0.1425584607,0.1570600338,-0.087774904,0.4018949719,0.2216742456,1.1660860428,maleate,Lipid,"Fatty Acid, Dicarboxylate"
S100000708,0.0001,0.0064,-0.084947576,-0.268898921,0.0990037683,0.8313326533,0.5076726198,1.1549926868,1.3219129435,2.4999737448,isovalerate (i5:0),Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
S100000710,0.4499,0.7006,0.06402756,-0.127323468,0.2553785884,0.2184554809,-0.118224201,0.5551351631,0.2227923957,1.1669901594,mandelate,Xenobiotics,Benzoate Metabolism
S100000711,0.9194,0.9684,-0.238767598,-0.661971968,0.1844367725,-0.284267707,-1.028890373,0.4603549583,-0.065642783,0.9555194978,4-acetylphenol sulfate,Xenobiotics,Benzoate Metabolism
S100000715,0.5455,0.7686,0.1299122634,-0.246563226,0.5063877525,0.3725112187,-0.289892579,1.0349150169,0.3499963097,1.2745573671,1-methylguanidine,Amino Acid,Guanidino and Acetamido Metabolism
S100000743,0.223,0.4875,-0.036922362,-0.248203824,0.1743591004,-0.31436329,-0.686110315,0.0573837353,-0.400262651,0.7577203233,2-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy"
S100000763,0.209,0.4837,0.2424333793,-0.005231345,0.4900981039,-0.093210783,-0.528973692,0.3425521257,-0.484232169,0.7148774408,5-methylcytidine,Nucleotide,"Pyrimidine Metabolism, Cytidine containing"
S100000772,0.2113,0.4837,-0.356600067,-0.924813542,0.2116134082,0.4093348271,-0.5904295,1.4090991539,1.1050104729,2.1510043956,mevalonolactone,Lipid,Mevalonate Metabolism
S100000773,0.3965,0.6609,-0.002768883,-0.326063397,0.3205256315,0.2904404473,-0.278392107,0.8592730016,0.4230116463,1.3407234147,3-hydroxyoctanoate,Lipid,"Fatty Acid, Monohydroxy"
S100000774,0.8281,0.9241,0.0729237828,-0.21502664,0.3608742057,0.006503746,-0.500141333,0.5131488248,-0.095823858,0.9357377375,phenyllactate (PLA),Amino Acid,Phenylalanine Metabolism
S100000776,0.1164,0.3476,-0.001769261,-0.168768989,0.165230468,0.2835517152,-0.010282167,0.5773855975,0.4116311569,1.3301889181,palmitoylcarnitine (C16),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Long Chain Saturated)"
S100000781,0.994,0.995,0.0881089733,-0.237161429,0.4133793756,0.0855299359,-0.486779168,0.65783904,-0.003720764,0.9974242854,hexanoylcarnitine (C6),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"
S100000787,0.8377,0.9295,0.1097606077,-0.109520082,0.3290412968,0.1574829205,-0.228338642,0.5433044828,0.0688487441,1.0488793546,N-acetylaspartate (NAA),Amino Acid,Alanine and Aspartate Metabolism
S100000800,0.2947,0.5694,0.0472155464,-0.290183574,0.3846146665,-0.332304808,-0.925954236,0.2613446193,-0.547532134,0.6841894987,indoleacrylate,Amino Acid,Tryptophan Metabolism
S100000802,0.862,0.9401,0.0331294297,-0.18721133,0.253470189,-0.007564502,-0.395251244,0.3801222403,-0.058708933,0.9601229483,acetylcarnitine (C2),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Short Chain)"
S100000808,0.6805,0.8532,0.0255258013,-0.229500288,0.2805518902,0.1372425478,-0.311472587,0.5859576829,0.1611731962,1.1181960829,cysteine s-sulfate,Amino Acid,"Methionine, Cysteine, SAM and Taurine Metabolism"
S100000827,0.5469,0.7697,0.0641101528,-0.335910513,0.4641308183,-0.192723427,-0.896554662,0.5111078072,-0.370532532,0.7734969284,1-palmitoylglycerol (16:0),Lipid,Monoacylglycerol
S100000840,0.084,0.2941,-0.015952598,-0.193290923,0.1613857277,0.3192511969,0.0072266863,0.6312757075,0.4835968521,1.3982253069,tartronate (hydroxymalonate),Xenobiotics,Food Component/Plant
S100000841,0.3092,0.5772,0.0257698612,-0.154412058,0.2059517805,-0.170806219,-0.487833996,0.1462215593,-0.283599335,0.8215388265,oxalate (ethanedioate),Cofactors and Vitamins,Ascorbate and Aldarate Metabolism
S100000846,0.143,0.395,0.0194243673,-0.171771273,0.2106200076,0.3232207651,-0.013185514,0.6596270439,0.4382855567,1.3549931485,erythritol,Xenobiotics,Food Component/Plant
S100000862,0.5618,0.7709,-1.206522071,-1.786527747,-0.626516394,-0.847962886,-1.86847544,0.1725496684,0.5172915581,1.4312657391,4-hydroxybenzoate,Xenobiotics,Benzoate Metabolism
S100000863,0.0125,0.1193,-0.048667667,-0.177521322,0.0801859886,0.314954236,0.0882378805,0.5416705916,0.5245955161,1.4385302073,adipate (C6-DC),Lipid,"Fatty Acid, Dicarboxylate"
S100000882,0.298,0.5715,0.0561537946,-0.178028083,0.2903356719,-0.205434824,-0.617474836,0.2066051876,-0.377392603,0.7698276511,3-hydroxymyristate,Lipid,"Fatty Acid, Monohydroxy"
S100000924,0.5427,0.7668,-0.091073851,-0.505062243,0.3229145409,0.1775499456,-0.550857325,0.905957216,0.3875422197,1.3081629136,1-oleoylglycerol (18:1),Lipid,Monoacylglycerol
S100000936,0.8712,0.9458,-0.055263258,-0.260409572,0.1498830561,-0.019932433,-0.380884744,0.341019877,0.0509716053,1.0359623739,3-methyl-2-oxobutyrate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
S100000943,0.2459,0.5122,-0.340827875,-0.702318515,0.0206627646,0.1106111275,-0.525427021,0.7466492755,0.6512888105,1.5705706156,2-oleoylglycerol (18:1),Lipid,Monoacylglycerol
S100000961,0.9266,0.973,-0.053261588,-0.448831191,0.3423080136,-0.091991086,-0.787990732,0.6040085587,-0.055874855,0.9620108998,homoarginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism
S100000963,0.4674,0.711,-0.138688169,-0.506313764,0.2289374261,0.1464920901,-0.500340433,0.7933246132,0.4114281455,1.3300017514,homocitrulline,Amino Acid,Urea cycle; Arginine and Proline Metabolism
S100000987,0.657,0.8409,-0.275627774,-0.719428169,0.1681726212,-0.485363538,-1.266224645,0.2954975695,-0.302584746,0.8107984599,2-linoleoylglycerol (18:2),Lipid,Monoacylglycerol
S100000989,0.1533,0.4115,0.6764969877,0.1235062054,1.2294877699,-0.179178335,-1.15215853,0.793801859,-1.234478545,0.4249960845,triethanolamine,Xenobiotics,Chemical
S100000997,0.7565,0.8947,-0.003214214,-0.260831501,0.2544030734,0.0816948727,-0.371579442,0.5349691877,0.1224979177,1.0886180919,3-hydroxydecanoate,Lipid,"Fatty Acid, Monohydroxy"
S100001006,0.0193,0.1388,-0.04303947,-0.22781783,0.1417388899,0.4417420822,0.1166269259,0.7668572386,0.6993919415,1.6238202504,N-acetylglycine,Amino Acid,"Glycine, Serine and Threonine Metabolism"
S100001007,0.011,0.1108,-0.064111907,-0.290275285,0.1620514722,0.5871312127,0.1891996462,0.9850627791,0.9395452185,1.9179235553,ribonate,Carbohydrate,Pentose Metabolism
S100001022,0.4619,0.707,-0.013085671,-0.230808276,0.2046369335,-0.184128044,-0.567208177,0.1989520885,-0.246761983,0.8427858614,threonate,Cofactors and Vitamins,Ascorbate and Aldarate Metabolism
S100001026,0.2341,0.5002,-0.341928231,-0.810425839,0.1265693773,-0.942243365,-1.766558902,-0.117927828,-0.866071667,0.5486387141,galactonate,Carbohydrate,"Fructose, Mannose and Galactose Metabolism"
S100001033,0.7737,0.9051,-0.134910267,-0.520544273,0.2507237396,-0.252785122,-0.931303213,0.4257329699,-0.170057469,0.8888072754,beta-sitosterol,Lipid,Sterol
S100001034,0.1014,0.3258,0.2390568915,-0.084958052,0.5630718347,-0.339703235,-0.909803375,0.230396905,-0.834974364,0.5605930002,indoleacetate,Amino Acid,Tryptophan Metabolism
S100001040,0.5524,0.7708,-0.149873769,-0.56714715,0.267399612,-0.41407578,-1.148262945,0.3201113861,-0.381162931,0.7678184163,1-linoleoylglycerol (18:2),Lipid,Monoacylglycerol
S100001051,0.1668,0.4337,-0.54070452,-1.153364006,0.0719549655,0.3759835817,-0.701982931,1.4539500948,1.3225013785,2.5009936223,1-methylhistidine,Amino Acid,Histidine Metabolism
S100001054,0.7862,0.9105,0.0855894794,-0.113292872,0.2844718312,0.0282403618,-0.321690587,0.378171311,-0.082737288,0.9442643525,butyrylcarnitine (C4),Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
S100001055,0.9621,0.9816,0.0042162409,-0.276526423,0.2849589052,-0.009934764,-0.503897884,0.4840283559,-0.020415585,0.98594865,isobutyrylcarnitine (C4),Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
S100001063,0.0507,0.2233,-1.523061538,-2.069931478,-0.976191598,-0.344460299,-1.306670949,0.617750351,1.7003621623,3.2498252924,7-ketodeoxycholate,Lipid,Secondary Bile Acid Metabolism
S100001081,0.5779,0.7785,-0.072300958,-0.456742325,0.3121404095,-0.300206215,-0.976625873,0.3762134437,-0.328797784,0.7961996906,2-pyrrolidinone,Amino Acid,Glutamate Metabolism
S100001083,0.0447,0.213,0.0564343424,-0.211775839,0.3246445237,-0.538526323,-1.010438699,-0.066613946,-0.858346801,0.551584262,indolepropionate,Amino Acid,Tryptophan Metabolism
S100001086,0.0296,0.1714,-0.60138501,-1.067227242,-0.135542778,0.5263650499,-0.293278387,1.3460084872,1.6269994184,3.0886992873,N-(2-furoyl)glycine,Xenobiotics,Food Component/Plant
S100001092,0.8055,0.9186,-0.015120903,-0.364258517,0.3340167104,0.0762603705,-0.538042786,0.6905635274,0.1318353107,1.0956866824,trigonelline (N'-methylnicotinate),Cofactors and Vitamins,Nicotinate and Nicotinamide Metabolism
S100001102,0.0463,0.2156,0.054462244,-0.090484206,0.1994086936,-0.264520104,-0.519551525,-0.009488684,-0.460194252,0.7268883802,dodecanedioate (C12-DC),Lipid,"Fatty Acid, Dicarboxylate"
S100001104,0.9771,0.9866,-0.004422555,-0.149100561,0.1402554507,-0.000012171,-0.254571268,0.2545469259,0.006362839,1.004420124,N-acetyltyrosine,Amino Acid,Tyrosine Metabolism
S100001112,0.8204,0.9221,-0.001395857,-0.27878972,0.2759980064,-0.068314211,-0.556385159,0.4197567362,-0.096542778,0.9352715591,3-hydroxylaurate,Lipid,"Fatty Acid, Monohydroxy"
S100001121,0.6259,0.8144,-0.052128357,-0.290687752,0.1864310385,0.0716810277,-0.348061171,0.4914232266,0.1786191852,1.1318001119,pyridoxate,Cofactors and Vitamins,Vitamin B6 Metabolism
S100001126,0.007,0.0942,-0.069765205,-0.259732865,0.1202024557,0.5148400331,0.1805943691,0.8490856971,0.8434070776,1.7942825311,gamma-glutamylvaline,Peptide,Gamma-glutamyl Amino Acid
S100001132,0.0962,0.3148,-0.051332763,-0.228309246,0.1256437193,0.2699827878,-0.041405065,0.5813706409,0.4635603522,1.3789406386,pyroglutamylvaline,Peptide,Modified Peptides
S100001148,0.796,0.9164,-0.241831407,-0.544671158,0.0610083444,-0.158617699,-0.69146036,0.3742249619,0.1200520033,1.0867740356,5-hydroxyhexanoate,Lipid,"Fatty Acid, Monohydroxy"
S100001150,0.5308,0.7582,-0.012257503,-0.317595619,0.2930806133,0.1917629877,-0.345475515,0.7290014901,0.2943393502,1.2263232814,propionylglycine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
S100001151,0.1704,0.4405,0.0098585563,-0.27645183,0.296168943,0.4345256731,-0.069233783,0.9382851291,0.6126651434,1.5290813294,butyrylglycine,Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
S100001153,0.5298,0.7582,-0.208523151,-0.451975497,0.034929194,-0.371600014,-0.799951296,0.0567512675,-0.235270181,0.8495258889,2-hydroxyadipate,Lipid,"Fatty Acid, Dicarboxylate"
S100001155,0.064,0.2559,-0.292994359,-0.498162877,-0.087825842,0.124559609,-0.236431768,0.4855509861,0.6024030393,1.5182433386,2-methylbutyrylglycine,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
S100001162,0.5202,0.7503,0.016482549,-0.187682097,0.2206471947,0.1564789401,-0.202746137,0.5157040177,0.2019720993,1.1502696477,propionylcarnitine (C3),Lipid,Fatty Acid Metabolism (also BCAA Metabolism)
S100001167,0.3504,0.615,-0.168414423,-0.455278074,0.118449228,0.1185506906,-0.386182227,0.6232836084,0.4140031466,1.3323777311,pro-hydroxy-pro,Amino Acid,Urea cycle; Arginine and Proline Metabolism
S100001170,0.0823,0.2941,0.0017906539,-0.276681959,0.2802632668,0.5311705486,0.0412015551,1.0211395421,0.7637337488,1.6978791183,3-hydroxy-2-ethylpropionate,Amino Acid,"Leucine, Isoleucine and Valine Metabolism"
S100001178,0.5658,0.7723,-0.581818002,-1.046572086,-0.117063917,-0.297430983,-1.115159839,0.5202978728,0.4102837414,1.3289471585,3-carboxy-4-methyl-5-propyl-2-furanpropanoate (CMPF),Lipid,"Fatty Acid, Dicarboxylate"
S100001180,0.4593,0.707,-0.017167155,-0.250304276,0.2159699666,0.1670323986,-0.243169379,0.5772341759,0.2657437823,1.2022557134,2-hydroxymyristate,Lipid,"Fatty Acid, Monohydroxy"
S100001181,0.1051,0.3344,-0.118362613,-0.474325134,0.2375999094,0.5104449884,-0.115866507,1.1367564838,0.9071776076,1.8753730525,docosapentaenoate (n3 DPA; 22:5n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
S100001182,0.1106,0.3425,-0.119138186,-0.387401368,0.1491249957,0.3470184942,-0.124987137,0.819024125,0.6725219314,1.5938567062,docosadienoate (22:2n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
S100001193,0.0228,0.149,-0.089147201,-0.392928474,0.2146340719,0.68442814,0.1499288838,1.2189273962,1.1160333081,2.1675019751,adrenate (22:4n6),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
S100001195,0.0306,0.1748,-0.177171868,-0.425448895,0.0711051591,0.4200789354,-0.016761312,0.8569191826,0.8616507721,1.817116317,docosatrienoate (22:3n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
S100001197,0.0446,0.213,0.0674969055,-0.191716031,0.3267098424,-0.50804543,-0.96412727,-0.051963589,-0.830332073,0.5623997769,10-undecenoate (11:1n1),Lipid,Medium Chain Fatty Acid
S100001198,0.5818,0.7795,0.1013500364,-0.240153136,0.4428532089,-0.099016184,-0.699886639,0.5018542714,-0.289067352,0.8184309721,myristoleate (14:1n5),Lipid,Long Chain Monounsaturated Fatty Acid
S100001204,0.3007,0.5722,-0.240548484,-0.575051738,0.0939547696,0.1310479235,-0.457506265,0.7196021119,0.5361002949,1.4500476354,1-methylhistamine,Amino Acid,Histidine Metabolism
S100001207,0.0497,0.2223,-0.053541245,-0.335228305,0.2281458153,0.5564576193,0.0608328466,1.052082392,0.8800423366,1.8404293088,4-imidazoleacetate,Amino Acid,Histidine Metabolism
S100001208,0.1962,0.4702,0.0070364693,-0.247232106,0.261305045,0.3618059708,-0.08557633,0.809188271,0.5118242004,1.4258519596,1-methyl-4-imidazoleacetate,Amino Acid,Histidine Metabolism
S100001211,0.0492,0.2223,0.0203038803,-0.095314388,0.1359221489,-0.230602512,-0.434031374,-0.02717365,-0.361981408,0.7780952037,sebacate (C10-DC),Lipid,"Fatty Acid, Dicarboxylate"
S100001212,0.6416,0.8272,-0.028354731,-0.527011104,0.4703016426,0.2187143743,-0.658665124,1.0960938727,0.3564453728,1.2802675828,guanidinosuccinate,Amino Acid,Guanidino and Acetamido Metabolism
S100001229,0.7857,0.9105,-0.140113397,-0.726503475,0.4462766819,-0.309596638,-1.341342466,0.7221491899,-0.244512632,0.8441009003,stearidonate (18:4n3),Lipid,Long Chain Polyunsaturated Fatty Acid (n3 and n6)
S100001232,0.1452,0.3988,0.1733504188,-0.094057608,0.4407584458,-0.249132337,-0.719633334,0.221368659,-0.609513777,0.6554175561,5-dodecenoate (12:1n7),Lipid,Medium Chain Fatty Acid
S100001247,0.5064,0.7405,0.2104372293,-0.087519758,0.5083942164,0.4216317768,-0.102619723,0.9458832771,0.3046893264,1.2351526276,octanoylcarnitine (C8),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"
S100001250,0.083,0.2941,-0.637057387,-0.889264171,-0.384850602,-0.15870643,-0.602461035,0.2850481743,0.6901145526,1.6134116212,tauro-beta-muricholate,Lipid,Primary Bile Acid Metabolism
S100001251,0.9791,0.9866,0.1884047613,-0.111431706,0.488241229,0.1800643843,-0.347494038,0.7076228065,-0.012032621,0.9916943074,decanoylcarnitine (C10),Lipid,"Fatty Acid Metabolism (Acyl Carnitine, Medium Chain)"
S100001253,0.9608,0.9815,0.0751463197,-0.076940046,0.2272326855,0.0830765162,-0.184517495,0.3506705277,0.0114408552,1.0079617238,N-acetylglutamine,Amino Acid,Glutamate Metabolism
S100001254,0.0908,0.3048,-0.124377957,-0.418004344,0.1692484296,0.4180725643,-0.0985593,0.9347044288,0.7825906772,1.7202171304,N-acetyltryptophan,Amino Acid,Tryptophan Metabolism
S100001256,0.3004,0.5722,0.1066313837,-0.070441924,0.2837046917,0.3034570938,-0.008101122,0.6150153099,0.283959476,1.2175318188,N-acetylphenylalanine,Amino Acid,Phenylalanine Metabolism
S100001257,0.0015,0.0363,-0.077978161,-0.219947368,0.0639910458,0.4508023838,0.2010093834,0.7005953843,0.7628690702,1.6968618001,N-acetylasparagine,Amino Acid,Alanine and Aspartate Metabolism
S100001259,0.4425,0.6979,-0.066353984,-0.230910442,0.0982024744,0.0686495805,-0.220885399,0.35818456,0.1947689728,1.1445408639,S-methylglutathione,Amino Acid,Glutathione Metabolism
S100001262,0.3577,0.6241,0.1717227192,-0.148775458,0.4922208959,-0.143933601,-0.707846035,0.4199788339,-0.455395807,0.7293100566,gamma-glutamyl-epsilon-lysine,Peptide,Gamma-glutamyl Amino Acid
S100001263,0.0001,0.0047,-0.118741625,-0.200304334,-0.037178915,0.3123157286,0.1688071866,0.4558242706,0.6218843059,1.5388838074,1-palmitoyl-GPC (16:0),Lipid,Lysophospholipid
S100001266,0.8281,0.9241,0.0854950306,-0.148509283,0.319499344,0.1394822364,-0.272245354,0.551209827,0.0778870742,1.0554710982,N-acetylarginine,Amino Acid,Urea cycle; Arginine and Proline Metabolism
