CatID,Cytokines/Cytokine20260622.csv::CatID,Cytokines/Cytokine_imputed_SAS_PMM.csv::CatID,Cytokines/SDF1_group_only_PMM.csv::CatID,Cytokines/STEP2_MERGED_PMM.csv::CatID,Dysbiosis/DI.csv::CatID,Dysbiosis/DI.csv::RecordID,Fecal Metabolomic Repository/FECESWIDELN20260720.csv::SampleID,Fecal Metabolomic Repository/Feces_Pareto_Scaled_Analysis.csv::SampleID,GLP-1/GLP1.csv::CatID,GLP-1/GLP_BA_PAIRED.csv::CatID,Serum Metabolomic Repository/SERUMWIDELN20260716.csv::SampleID,Serum Metabolomic Repository/Serum_Pareto_Scaled_Analysis.csv::SampleID,Targeted Fecal Analyses/DI_revised.csv::CatID,Targeted Fecal Analyses/FA.csv::CatID,Targeted Fecal Analyses/ONE_TRANS_SCALED.csv::CatID,Targeted Fecal Analyses/TARGETEDFECAL_PARETO.csv::CatID,Targeted Fecal Analyses/fa_revised.csv::CatID,Serum_SampleID_linkage_basis,Fecal_SampleID_linkage_basis,Blank_identifier_meaning,Repeated_imputation_rows
19,19,19,19,19,19,DI017,22,22,19,19,22,22,19,19,19,19,19,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
20,20,20,20,20,20,DI016,19,19,20,,19,19,,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
21,21,21,21,21,21,DI022,27,27,21,21,27,27,21,21,21,21,21,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
22,22,22,22,22,22,DI002,2,2,22,,2,2,22,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
23,23,23,23,23,,,17,17,23,,17,17,,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
24,24,24,24,24,24,DI019,24,24,24,,24,24,24,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
25,25,25,25,25,25,DI009,9,9,25,,9,9,25,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
26,26,26,26,26,26,DI018,23,23,26,,23,23,26,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
27,27,27,27,27,27,DI021,26,26,27,,26,26,27,,,,,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
28,28,28,28,28,28,DI005,5,5,28,28,5,5,28,28,28,28,28,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
29,29,29,29,29,29,DI008,8,8,29,29,8,8,29,29,29,29,29,Verified private serum-to-CatID linkage,Unique exact match to serum across 10 shared clinical/group fields; metadata-based linkage,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
30,,,,,30,DI024,,,,,,,,30,30,30,,Not present in serum metabolomics,Not present in fecal metabolomics,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
31,,,,,31,DI025,,,,,,,,31,31,31,,Not present in serum metabolomics,Not present in fecal metabolomics,Cat absent from that deposited file,For imputation files join by CatID; retain _Imputation_ to distinguish repeated draws
